[15:16:33] [main/INFO]: ModLauncher running: args [--username, binbin, --version, 1.20.1, --gameDir, C:\Users\hkbin\Desktop\workdir\client\.minecraft, --assetsDir, C:\Users\hkbin\Desktop\workdir\client\.minecraft\assets, --assetIndex, 5, --uuid, 93a30eff4aa73845b616e60cbf31752b, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, msa, --versionType, HMCL 3.5.8.249, --width, 854, --height, 480, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.1, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[15:16:33] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.9 by Azul Systems, Inc.; OS Windows 10 arch amd64 version 10.0
[15:16:34] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[15:16:34] [main/INFO]: Trying GL version 4.6
[15:16:34] [main/INFO]: Requested GL version 4.6 got version 4.6
[15:16:34] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/hkbin/Desktop/workdir/client/.minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[15:16:34] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce GTX 1060 5GB/PCIe/SSE2 GL version 4.6.0 NVIDIA 555.99, NVIDIA Corporation
[15:16:36] [main/INFO]: Found mod file Ad-Astra-Giselle-Addon-forge-1.20.1-6.8.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file ad_astra-forge-1.20.1-1.15.18.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file ad_astra_extra_additions-1.20.1-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file ad_astra_rocketed-forge-1.20.1-1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file adastraextra-forge-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file adtetra-2.0.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file AE2-Things-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file ae2insertexportcard-1.20.1-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file AE2NetworkAnalyzer-1.20-1.0.6-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file ae2wtlib-15.2.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
